ID,Requirement,Source (earlier ID · stakeholder need),Priority,Personas,Workflows,Screens / routes,Implementation,Verification,Evaluation evidence,Status
FR1,Users can compare Normal / Accessible / Steep walking routes with time; distance; climb and maximum slope,A1 FR1 · A2 FR1 · visitors & older adults need exact effort before walking,Must,P1 P2 P3,W2 W6 W9,Map /map › Route type; Standard nav /navigate/:id/map,services/routeOptions.js (chooseOptions); services/routes.js; services/elevation.js; composables/useWalkingRoute.js; components/map/RouteTypePicker.vue,tests/lib/terrain.spec.js (chooseOptions; elevationProfile; viaCandidates); tests/lib/routing.spec.js (parseRoute); usability T2 T6 T8,H1 (time estimates differ between screens) — to verify in T8,Implemented
FR2,Users can navigate with an AR heads-up view (direction arrows over the camera),A1 FR2 · A2 FR2 · hands-free wayfinding,Must,P1,W3,AR navigation /navigate/:id/ar,views/ArNavigationView.vue; lib/guidance.js (nextGuidance),tests/lib/routing.spec.js (nextGuidance); usability T3,Camera feed is simulated (prototype limitation),Implemented (simulated camera)
FR3,Users can filter and search heritage sites by category and name,A1 FR3 · A2 FR3 · reduce information overload,Must,P1,W1,Home /home › filter bar,views/HomeView.vue; components/base/ChipGroup.vue; components/home/SearchField.vue; lib/sites.js (filterSites),tests/lib/sites.spec.js (filterSites); usability T1,—,Implemented
FR4,Users can browse featured sites (Top 5 ranked by likes),A2 FR4 · A2 pilot strength S1 (recognition over recall),Should,P1,W1,Home /home › Top 5 carousel,components/home/HeritageCarousel.vue; lib/sites.js (rankByLikes),tests/lib/sites.spec.js (rankByLikes); usability T1,H3 (Top 5 repeats the full list of 5 sites) — to verify,Implemented
FR5,Users can view heritage information (category; area; year; accessibility; description),A2 FR5 · heritage officers: accurate interpretation,Must,P1 P3,W1 W11,Site detail /sites/:id,views/SiteDetailView.vue; data/sites.js; i18n/content,usability T1,—,Implemented
FR6,Users can listen to a narrated audio tour with playback controls,A1 FR5 · A2 FR6 · older adults can't read long text while walking,Must,P1 P2,W4,Audio tour /sites/:id/audio; Arrival sheet,stores/player.js; services/speech.js (Web Speech API); views/AudioTourView.vue; components/map/ArrivalSheet.vue,tests/stores/stores.spec.js (player store); usability T3,Round 1 R1-2: audio reachable in one tap on arrival,Implemented
FR7,Users can view historical image galleries,A1 FR4 · A2 FR7 · visual archives without new signage,Should,P1 P3,W11,Site detail › Through the years; Gallery /sites/:id/gallery/:index,components/site/GalleryRail.vue; views/GalleryView.vue,usability T4 (optional),—,Implemented
FR8,Users can start navigation from a site page,A2 FR8 · smooth transition from information to wayfinding,Must,P1,W1 W2,Site detail › Start walking route → /navigate/:id,views/SiteDetailView.vue; stores/trip.js (setDestination),usability T2,—,Implemented
FR9,Users can read the audio transcript and choose the narration language,A2 FR9 · non-native English speakers,Must,P1,W4,Audio tour › Read transcript; Language & display sheet,views/AudioTourView.vue; components/layout/LanguageSheet.vue; i18n/index.js (LOCALES speech tags),tests/stores/stores.spec.js (narration in every language); usability T3,—,Implemented
FR10,Users can choose and switch navigation mode (standard map / AR / printable),A2 FR10 · A2 pilot finding F1 (AR felt forced),Must,P1 P2 P3,W3 W7 W10,Navigate /navigate/:id; Map ⇄ AR buttons,views/NavigationModesView.vue; views/StandardNavigationView.vue; views/ArNavigationView.vue,usability T3 T7,—,Implemented
FR11,Users can add up to 4 stops (heritage sites as real waypoints; amenities marked on the route at simulated positions),A2 FR11 · A2 pilot finding F2 (route felt fixed),Must,P2 P3,W6 W9,Map › Add a stop; Standard nav › Add stop,components/map/StopPicker.vue; components/map/WaypointSheet.vue; stores/trip.js (toggleStop); data/navigation.js (WAYPOINTS; MAX_STOPS); lib/geo.js (placeAlongPath),tests/stores/stores.spec.js (caps stops; removes on second toggle); tests/lib/geo.spec.js (placeAlongPath); usability T6 T8,—,Implemented
FR12,Users can print the route with steps; stops; per-stop key facts and space for notes,A2 FR12 · A2 pilot finding F3 · schools & walking groups,Must,P2 P3,W7 W10,Printable map /navigate/:id/print,views/PrintableMapView.vue,usability T7 T9,Round 1 R1-4: facts at each stop for group hand-outs,Implemented
FR13,Users can recognise a landmark in AR and browse all its photos through time (newest to oldest; archival views marked),A1 FR4 (historic photos as AR overlays) · heritage officers: interpretation,Should,P1 P3,W4 W11,AR camera /ar/:id; Compare /ar/:id/compare,views/ArCameraView.vue; views/ArCompareView.vue; lib/sites.js (siteTimeline); components/ar/*,tests/lib/sites.spec.js (siteTimeline; yearOf); usability T4,Detection is simulated (prototype limitation),Implemented (simulated detection)
FR14,Users can enlarge text and switch to high contrast,A1 NFR1 (adjustable font size / high contrast) · older adults with low vision,Must,P2,W5,Language & display sheet (🌐 EN · Aa),stores/prefs.js; components/layout/LanguageSheet.vue; styles/tokens.css (data-contrast); styles/base.css (.text-zoom),tests/stores/stores.spec.js (prefs store); axe scan 22–25; usability T5,Round 1 R1-1 (gap found in RTM review: A1 NFR1 never implemented),Implemented in Round 1
FR15,Arriving at the destination opens its content (audio; AR; details) without autoplay,A1 FR5 (location-triggered narration) · safety while walking,Should,P1 P2,W4,Arrival sheet in /navigate/:id/map and /navigate/:id/ar,components/map/ArrivalSheet.vue; lib/guidance.js (arrived < 20 m),tests/lib/routing.spec.js (announces arrival); usability T3,Round 1 R1-2 (standard nav had no arrival state — consistency),Implemented in Round 1
FR16,Users can like sites; likes rank the Top 5,A2 UML Like_Function · engagement success measure,Could,P1,W1,Home cards; Site detail ♥,stores/favorites.js,tests/stores/stores.spec.js (favorites store),—,Implemented
FR17,The app suggests the nearest heritage site from the user's location (or a default origin),A1 challenge: visitors miss points of interest,Should,P2,W6,Map › Nearest heritage site,views/MapView.vue; lib/sites.js (nearestSite); stores/location.js,tests/lib/sites.spec.js (nearestSite); usability T6,—,Implemented
NFR1,Accessible by default: WCAG 2.2 AA; 44px targets; accessible routes; no forced gestures,A1 NFR1 · A2 NFR1 · improve accessibility (client objective),Must,P1 P2 P3,all,All screens,README §5.8 checklist; ChipGroup radiogroup; aria labels; useSheetDrag (drag has button alternative),axe-core scans (evidence/before → after); tests/composables/sheetDrag.spec.js; heuristic + cognitive walkthrough,A11Y-1…A11Y-4 fixed in Round 1,Partly verified — manual screen-reader test pending
NFR2,Usable with limited connectivity,A1 NFR2 · A2 NFR2 · variable connectivity (case constraint),Should,P2 P3,W7 W10,Printable map; "Save map offline" toggle,views/PrintableMapView.vue; stores/trip.js (offlineMap — simulated),usability T7 T9,Offline mode is simulated; paper map is the real fallback (limitation),Partial
NFR3,Responsive and stable navigation (re-route only after 50 m; cached routes; graceful fallback),A1 NFR3 · A2 NFR3,Should,P1,W3,Standard / AR navigation,composables/useWalkingRoute.js (REROUTE_METERS; cache; 'fallback' status),tests/lib/routing.spec.js; tests/lib/terrain.spec.js,—,Implemented
NFR4,Clear walking-weather information that feeds route planning,A1 NFR4 · A2 NFR4 · weather affects outdoor experience (case challenge),Should,P1 P2 P3,W2 W8,Weather /weather,views/WeatherView.vue; data/weather.js (static),usability T2 T8,Round 1 R1-3: "Plan an accessible walk"; data is static (limitation),Implemented (static data)
