id,method,source,screen,heuristic,wcag,requirement,persona,task,description,evidence,severity,reach,critical,priority,status,refinement
E0-01,CW,E0,/sites/:id → /navigate/:id,H3 H1,,FR1 NFR1,P1,T2,"Starting from a site page (Start walking route) never shows the route-type choice; navigation silently uses the last type (Normal by default), so Minzi cannot pick Accessible on her main path",evidence/before/11-navigate-modes.png,3,1,Y,,fixed-R1,R1-6 route type picker on the navigation-mode screen
E0-02,HE,E0,/navigate/:id/map,H4,,FR15 FR6,P1 P2,T3,"Standard map navigation has no arrival state (AR navigation does), so map users never reach the site's audio or AR content from navigation",evidence/before/12-navigate-standard.png,2,1,N,,fixed-R1,R1-2 shared arrival sheet + Simulate arrival in both modes
E0-03,HE,E0,/weather,H7 H6,,NFR4 NFR1,P1 P2 P3,T2,"Weather page is a dead end: the advice says 'choose the Accessible route' but offers no way to act on it",evidence/before/20-weather-bottom.png,2,1,N,,fixed-R1,R1-3 'Plan an accessible walk' button (preselects Accessible)
E0-04,HE,E0,all screens,H7,1.4.4,FR14 NFR1,P2,T5,"No way to enlarge text or raise contrast (A1 NFR1 'adjustable font size / high contrast' never implemented); secondary text is 5.1:1 — AA, but hard for low vision",evidence/before/02-home.png,3,1,Y,,fixed-R1,R1-1 Language & display sheet: Larger text + High contrast
E0-05,HE,E0,/navigate/:id/print,H2 H7,,FR12,P3,T9,"Printable map has route steps but no content about the places, so a teacher must research facts separately for a hand-out",evidence/before/16-navigate-print-steps.png,2,1,N,,fixed-R1,R1-4 'At each stop' facts numbered like the map pins
E0-06,HE,E0,/navigate/:id · /map route type,H4 H1,,FR1,P1 P2 P3,T2 T8,"While real routes load, the route cards show rough factor estimates that contradict the final times (Cascade: Accessible 68 min, Steep 25 min — 'faster' than Normal 39 min) and then jump",evidence/before/11b-navigate-modes-loading-estimates.png,2,1,Y,,fixed-R1,R1-8 cards show '…' while 'Checking slopes…'; estimates kept only for the no-network fallback
A11Y-1,A11Y,axe,Language sheet,,1.3.1,NFR1,P1 P2,T3 T5,"<li> elements inside role=radiogroup lose list semantics (axe: listitem, serious, 5 nodes)",evidence/before/axe-summary.md#04,2,1,N,,fixed-R1,Sheet rebuilt: switches in a list; languages as a radiogroup of buttons
A11Y-2,A11Y,axe,/weather,,2.1.1,NFR1 NFR4,P1 P2 P3,T2 T8,"Horizontally scrolling forecast (and the page, which had no focusable content) cannot be scrolled with a keyboard (axe: scrollable-region-focusable, serious)",evidence/before/axe-summary.md#19,2,1,N,,fixed-R1,Forecast strip focusable with a label; page now contains a button
A11Y-3,A11Y,E0,/weather,,1.1.1,NFR1 NFR4,P3,T8,"Forecast conditions exist only as aria-hidden emoji and the comfort chart bars have no text: screen-reader users cannot tell which day is rainy",evidence/before/19-weather.png,2,1,N,,fixed-R1,Visually hidden condition per day + hour-by-hour score list
A11Y-4,A11Y,axe,/navigate/:id/ar mini map,,2.5.8,NFR1,P1,T3,"Google Maps attribution links ('Map Data', 'Terms') in the AR mini map are smaller than 24×24 px (axe: target-size, serious)",evidence/before/axe-summary.md#13,1,1,N,,wont-fix,Third-party attribution required by Google's terms; mini map itself links to the full map
A11Y-5,A11Y,E0,/map browse panel,,2.5.7,NFR1,P2,T6,"Map browse panel could only be hidden by dragging (added for the drag-to-dismiss request) — no single-pointer or keyboard alternative",src/views/MapView.vue,2,1,N,,fixed-R1,Grip is now a 'Hide panel' button (tap or keyboard)
A11Y-6,A11Y,E0,/ar/:id,,2.5.7,NFR1 FR13,P1,T4,"AR info bubbles can be repositioned only by dragging (optional feature; bubbles stay tappable)",evidence/before/17-ar-camera.png,1,1,N,,open,Round 2 candidate: 'Reset layout' button or accept as non-essential
A11Y-FP,A11Y,axe,Site detail status bar,,1.4.3,,,,"'9:41' in the simulated phone status bar over the hero photo flagged for contrast — decorative mock-up chrome (aria-hidden), not app content",evidence/before/axe-summary.md#05,0,1,N,,rejected,False positive — documented
H1,HE,E0,/home · /map · /navigate/:id/map,H4 H2,,FR1,P3,T8,"Walking times differ between screens for the same trip: Home card says 39 min to Cascade, the route says 45 min; Nearest card says 20 min to St George's, the route 28 min (static estimate vs real route + climb)",evidence/before/02-home.png · 12-navigate-standard.png · 09-map-browse.png · 10-map-selected.png,2,1,Y,,open,Hypothesis — verify in T8; possible fix: label list times 'about' or reuse route minutes once known
H2,HE,E0,/map floating controls,H6 H1,,NFR2,P2,T7,"Icon-only map controls (speaker, 'wifi' for offline) are ambiguous; the offline toggle reports 'Map saved for offline use' although caching is simulated",evidence/before/10-map-selected.png,2,1,N,,open,Hypothesis — probe in debrief; possible fix: text labels / honest 'coming soon'
H3,HE,E0,/home,H8,,FR4,P1,T1,"With 5 sites, the Top 5 carousel repeats exactly the list below it",evidence/before/02-home.png · 03-home-list.png,1,1,N,,open,Hypothesis — observe in T1
H4,HE,E0,/map collapsed panel,H6 H10,,NFR5,P2 P3,T6 T8,"After the panel is dragged or tapped away, only a small 'Plan a walk' tab remains — first-time users may not find the nearest-site and stops controls again",src/views/MapView.vue,2,1,N,,open,Hypothesis — observe incidentally
H5,CW,E0,/map selected panel,H3 H6,,FR11,P2 P3,T6 T8,"Stops can be added only before choosing a destination (browse panel) or during navigation; the selected-destination panel — where the time is shown — can only remove them",docs/a3/task-flows.md,2,1,Y,,open,Hypothesis — verify in T6/T8; possible fix: 'Add a stop' in the selected panel (reuse WaypointSheet)
H6,HE,E0,/navigate/:id/map,H8,,FR10,P1 P2,T2,"'Change mode' is the burgundy primary button during navigation, although the main task is following the route",evidence/before/12-navigate-standard.png,1,1,N,,open,Hypothesis — observe
H7,HE,E0,/home,H2 H4,,FR4,P1,T1,"Heading 'Top 5 Heritages' is non-standard English and title case, against the style guide (README §5.9: sentence case)",evidence/before/02-home.png,1,1,N,,open,Cosmetic — 'Top 5 heritage sites'
H8,HE,E0,/map,H8,,,P1 P2 P3,,"When location is off, the 2.6 s 'Location is off — distances are from Centenary Building' toast covers the map's floating voice/offline controls",evidence/before/09-map-browse.png,1,1,N,,open,Place toasts below the controls or shorten the message
